Year,Month,CAISO,NWPP,ERCOT,MISO,SPP,PJM,NYPP,NEPOOL,CONUS,NWPP_Rolling_Avg,ERCOT_Rolling_Avg,MISO_Rolling_Avg,SPP_Rolling_Avg,PJM_Rolling_Avg,NYPP_Rolling_Avg,NEPOOL_Rolling_Avg,CONUS_Rolling_Avg,CAISO_Rolling_Avg,CAISO_pct_diff,NWPP_pct_diff,ERCOT_pct_diff,MISO_pct_diff,SPP_pct_diff,PJM_pct_diff,NYPP_pct_diff,NEPOOL_pct_diff,CONUS_pct_diff
1999.0,10.0,121.6,0.3999999999999999,180.5,42.0,32.6,3.2,2.8000000000000003,0.1,59.1,1.8399999999999999,199.44,49.09,45.92,17.56,15.75,5.3100000000000005,59.92,96.35999999999999,26.193441261934424,-78.26086956521739,-9.496590453269151,-14.44286005296395,-29.006968641114984,-81.77676537585423,-82.22222222222221,-98.11676082862523,-1.3684913217623502
1999.0,11.0,3.6,0.0,47.2,5.2,5.5,0.3,0.2,0.0,12.8,0.0,47.22,8.68,2.84,0.9400000000000001,0.26000000000000006,0.53,6.19,19.0,-81.05263157894737,,-0.04235493434984333,-40.09216589861751,93.66197183098592,-68.08510638297874,-23.07692307692309,-100.0,106.78513731825525
1999.0,12.0,0.2,0.0,11.7,2.7,0.3,0.0,0.0,0.0,0.5,0.0,20.610000000000003,4.21,0.5700000000000001,0.22000000000000003,0.08,0.0,0.8200000000000001,2.3600000000000003,-91.52542372881355,,-43.231441048034945,-35.86698337292161,-47.36842105263159,-100.0,-100.0,,-39.024390243902445
2000.0,1.0,3.0,0.0,23.0,5.5,0.9,0.0,0.0,0.0,1.1,0.0,9.95,1.9100000000000001,0.31999999999999995,0.05,0.0,0.0,0.35,2.0300000000000002,47.783251231527075,,131.15577889447238,187.95811518324606,181.25000000000006,-100.0,,,214.28571428571433
2000.0,2.0,1.9,0.0,55.0,11.0,1.8,0.0,0.0,0.0,1.9,0.0,21.1,3.7600000000000002,0.9299999999999999,0.04,0.0,0.0,1.89,5.31,-64.21845574387947,,160.6635071090047,192.5531914893617,93.5483870967742,-100.0,,,0.5291005291005296
2000.0,3.0,2.3,0.0,107.0,21.1,4.3,1.6,0.0,0.0,8.0,0.0,55.78000000000001,11.55,6.2299999999999995,3.84,1.65,0.9,10.76,7.470000000000001,-69.21017402945114,,91.82502689135889,82.68398268398268,-30.979133226324233,-58.33333333333333,-100.0,-100.0,-25.650557620817843
2000.0,4.0,19.9,0.4,149.8,26.0,16.6,2.3000000000000003,0.1,0.0,37.7,0.9,135.35999999999999,33.83,23.79,11.750000000000002,3.59,1.3000000000000003,36.89999999999999,30.060000000000002,-33.79906852960746,-55.55555555555556,10.667848699763613,-23.14513745196571,-30.222782681799064,-80.42553191489361,-97.21448467966573,-100.0,2.1680216802168335
2000.0,5.0,73.2,9.2,403.6,148.9,181.5,86.8,60.6,18.7,150.0,10.979999999999999,341.28,114.38000000000002,121.77000000000001,63.2,41.11,21.35,114.75999999999999,58.52,25.085440874914553,-16.21129326047358,18.260665729020175,30.180101416331507,49.05149051490514,37.341772151898724,47.409389442957924,-12.412177985948487,30.7075636110143
2000.0,6.0,163.8,67.1,480.8,221.8,238.6,210.0,198.4,128.1,276.7,41.79,516.9100000000001,257.02,315.09000000000003,220.35,182.0,123.26999999999998,265.9,126.28999999999999,29.701480718980143,60.56472840392437,-6.9857421988354,-13.703213757684216,-24.275603795740906,-4.697072838665757,9.010989010989015,3.9182282793867227,4.061677322301622
2000.0,7.0,176.2,131.6,652.6,311.2,431.1,225.1,222.3,138.6,335.8,144.21,618.76,340.45,440.65999999999997,352.64,344.66999999999996,249.5,399.91999999999996,221.42999999999998,-20.426319830194643,-8.744192497052918,5.46900252117138,-8.591569980907622,-2.1694730631325614,-36.16719600725953,-35.5035251109757,-44.448897795591186,-16.033206641328253
